City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hamilton,39.1834,-84.5333,25.87,81,0,5.14,US,1719997661
1,ust-nera,64.5667,143.2,18.89,54,100,1.36,RU,1719997927
2,al kharijah,25.4514,30.5464,37.41,10,26,1.66,EG,1719997928
3,tefe,-3.3542,-64.7114,22.06,98,93,1.0,BR,1719997929
4,iwaki,37.05,140.8833,28.76,86,100,2.0,JP,1719997252
5,edinburgh of the seven seas,-37.0676,-12.3116,13.34,79,38,17.75,SH,1719997932
6,kerikeri,-35.2268,173.9474,8.89,84,72,1.61,NZ,1719997933
7,udachny,66.4167,112.4,16.51,32,17,7.8,RU,1719997935
8,garoowe,8.4054,48.4845,33.24,33,96,12.76,SO,1719997936
9,tangalle,6.024,80.7911,30.45,67,85,7.06,LK,1719997937
10,vadso,70.0744,29.7487,10.49,93,100,7.72,NO,1719997939
11,waitangi,-43.9535,-176.5597,7.12,97,100,2.68,NZ,1719997940
12,nagqu,31.5,92.0,18.04,40,78,8.92,CN,1719997941
13,albany,42.6001,-73.9662,16.9,91,76,0.98,US,1719997943
14,college,64.8569,-147.8028,18.43,56,75,3.6,US,1719997944
15,avarua,-21.2078,-159.775,24.03,83,20,4.12,CK,1719997946
16,maydanshakhr,34.3956,68.8662,31.61,12,0,2.48,AF,1719997947
17,olonkinbyen,70.9221,-8.7187,3.81,97,100,4.39,SJ,1719997948
18,loa janan,-0.583,117.095,24.15,95,100,0.04,ID,1719997785
19,newman,37.3138,-121.0208,26.27,66,0,1.37,US,1719997952
20,choyr,46.3611,108.3611,28.1,19,52,5.64,MN,1719997953
21,port elizabeth,-33.918,25.5701,16.17,85,0,3.09,ZA,1719997955
22,general villegas,-35.0328,-63.0125,4.4,53,33,3.38,AR,1719997956
23,ujae,8.9322,165.7642,28.54,80,100,7.38,MH,1719997958
24,jamestown,42.097,-79.2353,21.77,67,0,3.6,US,1719997959
25,fiambala,-27.6871,-67.6149,8.57,31,0,0.49,AR,1719997960
26,tabou,4.423,-7.3528,25.62,77,88,4.61,CI,1719997960
27,northam,51.0333,-4.2167,16.33,95,100,6.44,GB,1719997963
28,papatowai,-46.5619,169.4708,5.72,86,60,2.46,NZ,1719997964
29,tiksi,71.6872,128.8694,4.3,76,100,3.85,RU,1719997965
30,port-aux-francais,-49.35,70.2167,0.98,54,31,6.61,TF,1719997967
31,adamstown,-25.066,-130.1015,20.6,62,100,6.11,PN,1719997968
32,kodiak,57.79,-152.4072,8.73,93,100,0.0,US,1719997969
33,hawaiian paradise park,19.5933,-154.9731,22.8,91,75,2.57,US,1719997971
34,invercargill,-46.4,168.35,6.12,90,24,0.89,NZ,1719997953
35,tolanaro,-25.0319,46.9987,23.04,65,1,7.04,MG,1719997681
36,bonthe,7.5264,-12.505,25.94,79,39,1.57,SL,1719997974
37,chonchi,-42.6128,-73.8092,5.62,89,75,4.39,CL,1719997976
38,queenstown,-31.8976,26.8753,17.06,32,94,8.11,ZA,1719997706
39,preobrazheniye,42.9019,133.9064,15.85,96,100,3.62,RU,1719997978
40,puerto natales,-51.7236,-72.4875,-3.42,97,76,1.82,CL,1719997980
41,walvis bay,-22.9575,14.5053,11.53,93,0,1.54,NA,1719997967
42,iqaluit,63.7506,-68.5145,6.85,70,75,6.17,CA,1719997982
43,blackmans bay,-43.0167,147.3167,6.52,84,13,0.45,AU,1719997984
44,naliya,23.2667,68.8333,32.63,64,76,8.79,IN,1719997986
45,damghan,36.1683,54.348,34.36,17,64,6.51,IR,1719997987
46,susuman,62.7833,148.1667,14.44,69,61,2.05,RU,1719997988
47,port mathurin,-19.6833,63.4167,21.94,64,13,8.38,MU,1719997991
48,fale old settlement,-9.3852,-171.2468,28.91,78,30,9.68,TK,1719997992
49,georgetown,5.4112,100.3354,30.96,70,20,4.63,MY,1719997994
50,la cruz,23.9167,-106.9,25.69,88,95,2.78,MX,1719997756
51,talnakh,69.4865,88.3972,17.2,35,69,6.66,RU,1719997890
52,aykhal,66.0,111.5,16.52,34,8,5.13,RU,1719997997
53,bilibino,68.0546,166.4372,15.18,63,80,1.96,RU,1719997999
54,nemuro,43.3236,145.575,17.88,76,91,2.71,JP,1719998000
55,bilokurakyne,49.5341,38.7307,35.92,14,1,3.32,UA,1719998001
56,stanley,54.868,-1.6985,12.38,87,40,3.09,GB,1719998003
57,medina,24.4686,39.6142,37.24,6,0,5.66,SA,1719997884
58,punta arenas,-53.15,-70.9167,-1.94,86,75,2.06,CL,1719998006
59,sola,-13.8833,167.55,26.03,73,44,8.51,VU,1719998007
60,bor,56.3567,44.0669,31.96,44,11,4.02,RU,1719998008
61,birzebbuga,35.8258,14.5269,25.38,61,40,9.26,MT,1719998010
62,grytviken,-54.2811,-36.5092,-5.05,77,7,1.77,GS,1719997828
63,hermanus,-34.4187,19.2345,14.33,80,98,4.06,ZA,1719998012
64,cabo san lucas,22.8909,-109.9124,24.78,88,94,1.34,MX,1719998015
65,pont rouge,48.8833,-72.0825,18.16,88,87,2.96,CA,1719998016
66,ilulissat,69.2167,-51.1,4.01,93,75,1.54,GL,1719998018
67,al faw,29.9776,48.4741,41.48,17,0,7.1,IQ,1719998019
68,howrah,22.5892,88.3103,30.0,84,75,3.6,IN,1719997464
69,panaba,21.2833,-88.2667,24.07,97,26,2.47,MX,1719998023
70,jining,35.405,116.5814,34.37,39,94,3.29,CN,1719998024
71,santa marta,11.2408,-74.199,27.16,83,100,2.08,CO,1719998026
72,crane,31.3974,-102.3501,27.26,46,67,9.08,US,1719998027
73,fort stockton,30.894,-102.8793,26.03,53,0,7.2,US,1719998029
74,middelharnis,51.7575,4.1653,13.34,79,100,0.89,NL,1719998031
75,port macquarie,-31.4333,152.9167,12.82,86,56,0.89,AU,1719998032
76,uturoa,-16.7333,-151.4333,25.84,75,38,10.64,PF,1719998034
77,ribeira grande,38.5167,-28.7,24.22,60,40,7.2,PT,1719998035
78,san antonio de pale,-1.4014,5.6325,23.74,82,100,6.65,GQ,1719998037
79,zhanaozen,43.3,52.8,33.73,14,17,5.38,KZ,1719998038
80,thompson,55.7435,-97.8558,12.09,100,100,0.0,CA,1719998039
81,pariaman,-0.619,100.12,32.03,70,35,2.67,ID,1719997786
82,qaqortoq,60.7167,-46.0333,2.57,91,51,0.99,GL,1719998042
83,hadibu,12.65,54.0333,29.85,61,61,13.5,YE,1719998043
84,tobelo,1.7284,128.0095,28.3,76,42,1.68,ID,1719998045
85,ndelele,4.0333,14.9333,26.11,83,22,0.36,CM,1719998046
86,suva,-18.1416,178.4415,24.71,88,75,2.06,FJ,1719997969
87,remire-montjoly,4.9167,-52.2667,23.02,100,100,0.0,GF,1719998049
88,khandyga,62.6667,135.6,22.11,56,98,1.87,RU,1719998050
89,ushuaia,-54.8,-68.3,-1.52,98,100,1.3,AR,1719998051
90,bubaque,11.2833,-15.8333,26.58,80,86,8.35,GW,1719998053
91,meadow lake,34.8014,-106.5436,18.97,61,79,1.0,US,1719998054
92,san fernando de monte cristi,19.8667,-71.65,27.63,76,100,7.61,DO,1719998055
93,isangel,-19.55,169.2667,24.06,83,20,4.63,VU,1719998056
94,iquitos,-3.7481,-73.2472,20.02,100,40,0.0,PE,1719998058
95,west island,-12.1568,96.8225,28.99,79,75,9.26,CC,1719998059
96,nedryhayliv,50.834,33.8763,31.06,31,50,3.41,UA,1719998062
97,wailua homesteads,22.0669,-159.378,24.44,86,100,6.17,US,1719998063
98,port lincoln,-34.7333,135.8667,10.09,68,0,4.67,AU,1719998065
99,alofi,-19.0595,-169.9187,23.94,88,40,3.6,NU,1719998066
100,vilyuysk,63.7553,121.6247,21.01,47,2,4.49,RU,1719998068
101,waddan,29.1614,16.139,31.56,28,1,4.26,LY,1719998070
102,hobe sound,27.0595,-80.1364,27.77,93,0,0.0,US,1719998071
103,tazovsky,67.4667,78.7,18.41,36,100,6.31,RU,1719998073
104,kailua-kona,19.6406,-155.9956,23.98,93,100,3.6,US,1719998074
105,inarajan village,13.2736,144.7484,28.54,90,100,5.61,GU,1719998076
106,dawei,14.0833,98.2,25.66,87,100,0.55,MM,1719998077
107,whitehorse,60.7161,-135.0538,12.43,87,100,2.57,CA,1719998080
108,tura,25.5198,90.2201,28.02,86,100,3.51,IN,1719997800
109,flying fish cove,-10.4217,105.6791,26.82,89,100,5.66,CX,1719998082
110,kristiansund,63.1115,7.732,14.03,66,40,6.17,NO,1719998084
111,vashkivtsi,48.3849,25.5102,14.02,97,100,4.93,UA,1719998085
112,inhambane,-23.865,35.3833,24.99,69,40,0.0,MZ,1719998086
113,iskateley,67.6803,53.1512,18.24,68,99,9.31,RU,1719998088
114,atafu village,-8.5421,-172.5159,29.21,77,8,9.4,TK,1719998089
115,cleveland,41.4995,-81.6954,23.51,66,0,5.14,US,1719998090
116,westport,41.1415,-73.3579,18.51,88,0,0.0,US,1719998092
117,isafjordur,66.0755,-23.124,7.02,81,100,7.2,IS,1719998093
118,lompoc,34.6391,-120.4579,17.66,77,2,1.31,US,1719998094
119,puerto ayora,-0.7393,-90.3518,20.31,99,19,2.47,EC,1719998095
120,geraldton,-28.7667,114.6,18.23,55,0,5.66,AU,1719997833
121,lazaro cardenas,17.9583,-102.2,24.75,89,93,1.48,MX,1719998098
122,kapuskasing,49.4169,-82.4331,17.05,72,100,4.63,CA,1719998101
123,al hayy,32.1735,46.0433,41.96,10,0,7.74,IQ,1719998103
124,margaret river,-33.95,115.0667,14.87,58,1,2.84,AU,1719997993
125,umuarama,-23.7664,-53.325,15.68,72,0,2.77,BR,1719998106
126,nuuk,64.1835,-51.7216,3.34,93,75,2.57,GL,1719998108
127,weno,7.4515,151.8468,27.97,83,75,2.57,FM,1719998109
128,petropavlovsk-kamchatsky,53.0452,158.6483,9.33,100,75,1.0,RU,1719998111
129,aasiaat,68.7098,-52.8699,2.51,91,99,0.99,GL,1719998112
130,papao,-17.75,-149.55,22.82,74,100,10.34,PF,1719998113
131,chinchilla,-26.75,150.6333,15.01,80,92,3.13,AU,1719998114
132,bel ombre,-4.6167,55.4167,28.91,70,20,5.66,SC,1719998116
133,al bawiti,28.3492,28.8659,34.91,11,0,3.54,EG,1719998117
134,vilyuchinsk,52.9306,158.4028,10.15,97,100,3.21,RU,1719998120
135,kencong,-8.2833,113.3667,26.82,85,100,2.55,ID,1719997913
136,tsiombe,-25.3,45.4833,25.62,44,0,4.33,MG,1719998123
137,kedrovyy,56.1667,91.8167,26.23,96,100,3.21,RU,1719998124
138,bethel,41.3712,-73.414,16.63,90,0,0.0,US,1719997835
139,ulsteinvik,62.3432,5.8487,14.48,58,71,0.45,NO,1719998127
140,leava,-14.3,-178.1667,27.39,86,6,9.5,WF,1719998129
141,poronaysk,49.2167,143.1167,14.96,82,3,3.14,RU,1719998130
142,hasaki,35.7333,140.8333,27.38,77,99,4.64,JP,1719998132
143,conception bay south,47.4999,-52.9981,13.08,98,100,4.71,CA,1719998133
144,anna regina,7.2644,-58.5077,24.45,91,38,1.08,GY,1719998134
145,leh,34.1667,77.5833,24.89,20,3,2.56,IN,1719998136
146,enewetak,11.3474,162.3373,28.32,81,100,8.01,MH,1719998137
147,badger,64.8,-147.5333,18.38,55,75,3.6,US,1719998138
148,christchurch,-43.5333,172.6333,5.53,87,86,2.57,NZ,1719997476
149,lumut,4.2323,100.6298,33.01,58,20,1.54,MY,1719998141
150,akjoujt,19.6969,-14.4164,29.99,39,99,7.34,MR,1719998143
151,prestea,5.4327,-2.1428,26.7,73,100,3.15,GH,1719998144
152,sombrerete,23.6333,-103.65,14.91,69,0,2.83,MX,1719998146
153,saint-philippe,-21.3585,55.7679,24.77,76,7,5.42,RE,1719998147
154,boke,10.9409,-14.2967,25.95,85,71,3.65,GN,1719997856
155,fang,19.9169,99.2145,28.25,87,100,1.3,TH,1719998150
156,st. john's,47.5649,-52.7093,13.21,99,100,8.23,CA,1719998151
157,kavaratti,10.5669,72.642,28.39,85,99,7.63,IN,1719997781
158,guymon,36.6828,-101.4816,20.0,94,0,4.12,US,1719998158
159,tosontsengel,48.7567,98.2839,24.45,34,99,3.68,MN,1719998160
160,dongkan,33.9997,119.8308,31.77,58,95,2.73,CN,1719998166
161,keflavik,64.0049,-22.5624,11.95,93,100,6.17,IS,1719998170
162,afaahiti,-17.75,-149.2833,21.93,73,100,9.01,PF,1719998171
163,okhotsk,59.3833,143.3,13.59,72,63,3.32,RU,1719998180
164,ghanzi,-21.5667,21.7833,23.26,20,0,5.73,BW,1719998181
165,yellowknife,62.456,-114.3525,13.29,82,100,2.06,CA,1719998186
166,qarazhal,48.0078,70.7903,25.0,35,100,5.29,KZ,1719998187
167,amahai,-3.3333,128.9167,25.41,92,91,3.97,ID,1719998188
168,menongue,-14.6585,17.691,25.78,19,22,2.7,AO,1719998190
169,kotlas,61.2611,46.6556,32.01,36,0,5.9,RU,1719998191
170,ceeldheer,3.8488,47.1806,29.33,59,57,11.16,SO,1719997978
171,sim,54.993,57.6982,28.87,43,2,0.87,RU,1719998193
172,bredasdorp,-34.5322,20.0403,14.0,69,86,2.57,ZA,1719998195
173,tahe,52.3333,124.7333,36.63,19,6,3.5,CN,1719998196
174,zielona gora,51.9355,15.5064,18.38,57,100,4.09,PL,1719998198
175,harstad,68.799,16.5293,12.31,88,100,0.98,NO,1719998199
176,mahibadhoo,3.7833,72.9667,29.26,74,84,3.4,MV,1719998200
177,mendi,-6.1761,143.6513,14.27,99,100,0.17,PG,1719998202
178,chunskiy,56.0815,99.6342,32.61,33,74,2.9,RU,1719998203
179,hithadhoo,-0.6,73.0833,28.54,74,97,1.22,MV,1719998204
180,parral,26.9333,-105.6667,23.19,44,17,2.16,MX,1719998205
181,utrik,11.2278,169.8474,27.91,78,46,8.05,MH,1719998207
182,buckie,57.6757,-2.9624,12.8,87,100,4.43,GB,1719998208
183,fort mcmurray,56.7268,-111.381,16.77,82,0,4.12,CA,1719998210
184,kurchatov,51.6601,35.6521,31.23,45,89,3.32,RU,1719998211
185,calchaqui,-29.8877,-60.287,11.53,70,36,3.73,AR,1719998212
186,ixtapa,20.7,-105.2,24.01,92,98,0.45,MX,1719998214
187,kayangel,8.0823,134.7173,29.39,68,98,2.09,PW,1719998215
188,senador jose porfirio,-2.5908,-51.9542,22.23,98,25,1.59,BR,1719998216
189,jijel,36.8205,5.7667,26.97,47,20,2.06,DZ,1719998218
190,aldinga beach,-35.2793,138.4604,10.9,75,3,5.18,AU,1719998219
191,princeville,45.7668,-61.2985,11.84,97,0,0.69,CA,1719998220
192,longyearbyen,78.2186,15.6401,11.91,58,75,6.17,SJ,1719997981
193,lebu,-37.6167,-73.65,7.58,76,100,4.88,CL,1719998225
194,kolonia town,6.964,158.206,28.91,75,36,4.6,FM,1719998226
195,callao,-12.0667,-77.15,15.79,88,100,1.54,PE,1719998230
196,cockburn town,21.4612,-71.1419,27.88,89,95,10.11,TC,1719998232
197,tres arroyos,-38.3739,-60.2798,6.99,67,85,6.31,AR,1719998233
198,taroa,8.7058,171.2275,28.09,82,33,8.39,MH,1719998235
199,north bend,43.4065,-124.2243,13.25,87,0,2.06,US,1719998236
200,port douglas,-16.4833,145.4667,22.31,88,53,5.03,AU,1719998238
201,murzuq,25.9155,13.9184,37.87,10,0,3.01,LY,1719998239
202,vega de alatorre,20.0333,-96.6333,24.87,82,45,2.12,MX,1719998240
203,weihai,37.5017,122.1136,22.41,84,1,1.89,CN,1719998243
204,abu qurqas,27.9312,30.8384,35.31,17,0,3.6,EG,1719998244
205,lichinga,-13.3128,35.2406,24.46,36,68,0.52,MZ,1719998246
206,flin flon,54.7682,-101.865,13.9,83,100,2.46,CA,1719998248
207,grand falls-windsor,48.9332,-55.6649,10.28,93,1,1.37,CA,1719998249
208,kiunga,-6.1219,141.2906,24.21,99,100,1.43,PG,1719998251
209,bishunpur urf maharajganj,26.2519,83.1186,34.69,55,100,1.38,IN,1719998252
210,nikolayevsk-on-amure,53.1406,140.73,26.42,60,75,1.42,RU,1719998254
211,lihue,21.9789,-159.3672,24.77,81,100,6.17,US,1719998255
212,anadyr,64.75,177.4833,18.28,59,0,4.0,RU,1719998256
213,mundybash,53.211,87.2983,20.84,80,100,1.5,RU,1719998257
214,coahuayana de hidalgo,18.7,-103.6583,24.14,88,97,1.21,MX,1719998259
215,arenapolis,-14.4503,-56.8461,19.2,59,3,1.45,BR,1719998260
216,zhangye,38.9342,100.4517,35.08,9,57,3.45,CN,1719998261
217,gamba,-2.65,10.0,23.29,82,100,4.05,GA,1719998263
218,kourou,5.1552,-52.6478,23.03,94,25,2.6,GF,1719998264
219,lerida,41.6167,0.6167,19.41,61,0,2.06,ES,1719998266
220,sydney mines,46.2367,-60.2177,11.88,95,40,2.06,CA,1719998267
221,mukalla,14.5425,49.1242,37.45,46,59,8.81,YE,1719998268
222,roma,43.2128,-75.4557,19.93,73,0,3.09,US,1719998269
223,tadine,-21.55,167.8833,22.31,82,90,2.28,NC,1719998271
224,bakchar,57.0186,82.0711,26.23,42,57,1.71,RU,1719998277
225,spring creek,40.7266,-115.5859,14.38,42,0,0.23,US,1719998278
226,lagunas,-5.2269,-75.6753,20.61,98,45,0.39,PE,1719998279
227,tshabong,-26.05,22.45,19.63,26,0,1.34,BW,1719998282
228,mhamid,29.82,-5.72,35.52,9,0,1.39,MA,1719998284
229,videira,-27.0083,-51.1517,11.32,96,0,1.36,BR,1719998285
230,camarinas,43.1311,-9.1817,20.1,75,26,5.97,ES,1719998287
231,graham,47.0529,-122.2943,13.2,86,100,1.79,US,1719998288
232,choibalsan,48.0667,114.5,30.06,30,100,4.81,MN,1719998289
233,shingu,33.7333,135.9833,28.62,76,100,2.89,JP,1719998143
234,xinqing,48.2333,129.5,25.06,69,100,1.67,CN,1719998292
235,onil,38.6244,-0.6726,27.21,42,9,1.03,ES,1719998293
236,sao joao da barra,-21.6403,-41.0511,19.71,91,0,3.05,BR,1719998295
237,severn,39.1371,-76.6983,20.98,84,75,0.0,US,1719998298
238,salekhard,66.53,66.6019,13.59,89,100,6.21,RU,1719998299
239,yuzhno-kurilsk,44.0306,145.8556,17.55,77,79,0.78,RU,1719998300
240,whakatane,-37.9585,176.9854,6.95,94,12,2.6,NZ,1719998302
241,voi,-3.3945,38.563,28.28,42,62,4.84,KE,1719998303
242,gerash,27.6652,54.1371,42.08,10,21,2.59,IR,1719998304
243,guerrero negro,27.9769,-114.0611,17.91,91,15,3.23,MX,1719998306
244,phan rang-thap cham,11.5667,108.9833,29.72,68,93,3.55,VN,1719998103
245,tsiroanomandidy,-18.7667,46.0333,25.81,29,49,1.37,MG,1719998308
246,codrington,-38.2667,141.9667,6.28,84,0,2.89,AU,1719998310
247,nadym,65.5333,72.5167,18.33,45,100,7.97,RU,1719998311
248,broome,42.2506,-75.833,17.0,97,88,0.45,US,1719998312
249,rio grande,-32.035,-52.0986,11.64,90,3,5.2,BR,1719998314
250,vorgashor,67.5833,63.95,14.01,95,100,6.44,RU,1719998315
251,thurso,58.5927,-3.5259,11.14,89,100,6.37,GB,1719998316
252,vail,32.0479,-110.712,27.72,55,91,2.54,US,1719998317
253,raduzhnyy,62.0961,77.475,21.65,33,3,1.87,RU,1719998319
254,sainte-marie,-20.8968,55.5496,25.09,69,0,8.75,RE,1719998153
255,kuanda,56.3161,116.0806,32.26,32,66,0.92,RU,1719998321
256,kijang,35.2442,129.2139,25.85,93,72,6.25,KR,1719998073
257,tokar,18.4254,37.729,41.23,25,100,13.56,SD,1719998324
258,rawson,-43.3002,-65.1023,3.4,55,0,8.19,AR,1719998325
259,darwin,-12.4611,130.8418,26.99,60,0,2.57,AU,1719998106
260,el salto,20.3333,-104.5,16.72,96,96,0.37,MX,1719998327
261,lashio,22.9333,97.75,26.6,88,94,1.22,MM,1719998329
262,touros,-5.1989,-35.4608,22.94,92,59,4.63,BR,1719998330
263,holualoa,19.6228,-155.9522,21.91,94,100,3.6,US,1719998332
264,cedeira,43.6797,-8.0209,17.77,70,25,2.49,ES,1719998335
265,fernley,39.608,-119.2518,22.22,16,0,1.79,US,1719998336
266,san luis de la loma,17.2706,-100.8939,24.66,88,100,2.08,MX,1719998337
267,arraial do cabo,-22.9661,-42.0278,20.92,100,0,1.54,BR,1719998339
268,floro,61.5996,5.0328,12.98,58,75,3.09,NO,1719998340
269,luwuk,-0.9516,122.7875,26.36,92,91,0.64,ID,1719998341
270,hassi messaoud,31.6804,6.0729,33.92,22,0,4.63,DZ,1719998343
271,gaoual,11.75,-13.2,25.96,81,37,2.35,GN,1719998344
272,tevriz,57.509,72.4042,20.79,50,66,5.07,RU,1719998345
273,nar'yan-mar,67.6713,53.087,18.43,67,99,9.5,RU,1719998346
274,pitimbu,-7.4706,-34.8086,22.33,82,86,5.41,BR,1719998348
275,tamanrasset,22.785,5.5228,33.95,14,0,7.2,DZ,1719998349
276,manta,-0.95,-80.7333,23.88,88,100,3.09,EC,1719998350
277,kotido,2.9806,34.1331,27.69,43,100,1.75,UG,1719998352
278,manga,11.6636,-1.0731,26.61,71,100,2.46,BF,1719998353
279,nova sintra,14.8667,-24.7167,21.15,78,81,2.85,CV,1719998355
280,sebastopol,44.6,33.5333,27.78,48,0,3.13,UA,1719998356
281,egersund,58.4513,5.9997,14.65,61,100,5.31,NO,1719998357
282,la passe,45.5549,-0.8967,20.13,71,78,5.24,FR,1719998359
283,lesnoy,57.6198,63.0784,25.57,49,17,1.88,RU,1719998360
284,constantia,44.1833,28.65,27.61,53,13,3.19,RO,1719998362
285,qarauyl,48.9451,79.255,21.89,36,100,6.27,KZ,1719998363
